parish,county,from_year,to_year,comments,district,source_url
Abberwick,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Acklington,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Acklington Park,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Acton & Old Felton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Alnmouth,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Alnwick,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Amble,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Bassington,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Beanley,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Birling,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Bolton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Boulmer & Seaton House,Northumberland,1837,1888,Abolished 24.3.1888 and added to the parish of Longhoughton.,Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Broome Park,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Brotherwick,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Broxfield,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Brunton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Craster,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Crawley,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Ditchburn,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Doxford,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Dunstan,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Edlingham,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Eglingham,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Elyhaugh,Northumberland,1837,1936,"See Table 2, notes (b) and (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Embleton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Fallodon,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Felton,Northumberland,1837,1936,"See Table 2, notes (b) and (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Glanton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Gloster Hill,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Greens & Glantlees,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Guyzance,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Harehope,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Hauxley,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Hazon & Hartlaw,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Hedgeley,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
High Buston,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Howick,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Learchild,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Lemmington,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Lesbury,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Littlehoughton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Longhoughton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Low Buston,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Morwick,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Newton by the Sea,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Newton on the Moor,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
North Charlton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Rennington,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Rock,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Shawdon,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Shilbottle,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Shipley,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
South Charlton,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Stamford,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Sturton Grange,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Swarland,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Titlington,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Togston,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Walkmill,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Warkworth,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Whittle,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
Woodhouse,Northumberland,1837,1936,"See Table 2, note (c).",Alnwick,http://www.ukbmd.org.uk/reg/districts/alnwick.html
