parish,county,from_year,to_year,comments,district,source_url
Beauworth,Hampshire,1837,1932,"See Table 2, notes (d) and (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Bighton,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Bishop's Sutton,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Bramdean,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Brown Candover,Hampshire,1837,1932,Abolished 1.4.1932 and added to the parish of Candovers.,Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Cheriton,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Chilton Candover,Hampshire,1837,1932,Abolished 1.4.1932 and added to the parish of Candovers.,Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Godsfield,Hampshire,1837,1932,Abolished 1.4.1932 and added to the parish of Old Alresford.,Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Hinton Ampner,Hampshire,1837,1932,Abolished 1.4.1932 and added to the parish of Bramdean.,Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Itchen Stoke,Hampshire,1837,1932,"Abolished 1.4.1932 and added to the parish of Itchen Stoke 
    & Ovington. See also Table 2, note (a).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Kilmeston,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
New Alresford,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Northington,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Old Alresford,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Ovington,Hampshire,1837,1932,"Abolished 1.4.1932 and added to the parish of Itchen Stoke 
    & Ovington.",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Ropley,Hampshire,1837,1932,"See Table 2, note (b).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Swarraton,Hampshire,1837,1932,Abolished 1.4.1932 and added to the parish of Northington.,Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
Tichborne,Hampshire,1837,1932,"See Table 2, note (e).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
West Tisted,Hampshire,1837,1932,"See Table 2, note (b).",Alresford,http://www.ukbmd.org.uk/reg/districts/alresford.html
