parish,county,from_year,to_year,comments,district,source_url
Aberffraw,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Amlwch,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Bodedern,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Bodewryd,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Bodwrog,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Ceirchiog,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Cerrigceinwen,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Coedana,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Gwredog,Anglesey,1837,1888,"Abolished 24.3.1888 and divided between the parishes of Rhodogeidio 
    and Llanerchymedd.",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Heneglwys,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Holyhead,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanallgo,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanbabo,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanbadrig,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanbedrgôch,Anglesey,1837,1933,"Abolished 1.10.1933 and added to the parish of Llanfair Mathafarn 
    Eithaf.",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanbeulan,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanddeusant,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llanddyfnan,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llandrygarn,Anglesey,1837,1884,"See Table 2, note (b).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llandyfrydog,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llaneilian,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
Llaneugrad,Anglesey,1837,1937,"See Table 2, note (d).",Anglesey (1968-1974),http://www.ukbmd.org.uk/reg/districts/anglesey.html
