parish,county,from_year,to_year,comments,district,source_url
Axbridge,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Badgworth,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Banwell,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Berrow,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Biddisham,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Badgworth.,Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Blagdon,Somerset,1837,1936,"See Table 2, notes (a) and (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Bleadon,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Brean,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Brent Knoll,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Burnham,Somerset,1837,1933,"Abolished 1.4.1933 and added to the parish of Burnham on 
    Sea.",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Burrington,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Butcombe,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Chapel Allerton,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Charterhouse,Somerset,1837,1933,"Abolished 1.4.1933 and divided between the parishes of Blagdon 
    and Cheddar.",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Cheddar,Somerset,1837,1936,"See Table 2, notes (b) and (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Christon,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Loxton.,Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Churchill,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Compton Bishop,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Congresbury,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
East Brent,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Hutton,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Kewstoke,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Locking,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Loxton,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Lympsham,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Mark,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Nyland cum Batcombe,Somerset,1837,1933,"Abolished 1.4.1933 and added to the parish of Cheddar. See 
    also Table 2, note (b).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Puxton,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Rowberrow,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Shipham.,Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Shipham,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Steep Holme Island,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Uphill,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Weston-super-Mare.,Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Weare,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Wedmore,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Weston-super-Mare,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Wick St. Lawrence,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Winscombe,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Worle,Somerset,1837,1933,"Abolished 1.4.1933 and divided between the parishes of Weston-super-Mare, Locking and Kewstoke.",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
Wrington,Somerset,1837,1936,"See Table 2, note (d).",Axbridge,http://www.ukbmd.org.uk/reg/districts/axbridge.html
