parish,county,from_year,to_year,comments,district,source_url
Alby,Norfolk,1837,1884,"Abolished 25.3.1885 and added to the parish of Alby with 
    Thwaite.",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Aylsham,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Banningham,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Colby.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Belaugh,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Blickling,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Brampton,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Burgh,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Tuttington.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Buxton,Norfolk,1837,1935,"Abolished 1.4.1935 and added to the parish of Buxton with 
    Lammas.",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Calthorpe,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Erpingham.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Cawston,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Colby,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Coltishall,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Corpusty,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Erpingham,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Foulsham,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Great Hautbois,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Coltishall.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Guestwick,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Hackford,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Reepham.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Hevingham,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Heydon,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Hindolveston,Norfolk,1837,1938,"See Table 2, note (a).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Ingworth,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Irmingland,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Oulton.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Itteringham,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Lammas with Little Hautbois,Norfolk,1837,1935,"Abolished 1.4.1935 and added to the parish of Buxton with 
    Lammas.",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Little Barningham,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Mannington,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Itteringham.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Marsham,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Oulton,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Oxnead,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Brampton.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Reepham with Kerdiston,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Reepham.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Sall,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Saxthorpe,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Corpusty.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Scottow,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Skeyton,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Stratton Strawless,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Swanton Abbot,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Themelthorpe,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Thurning,Norfolk,1837,1938,"See Table 2, note (a).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Thwaite,Norfolk,1837,1884,"Abolished 25.3.1884 and added to the parish of Alby with 
    Thwaite.",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Tuttington,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Whitwell,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Reepham.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Wickmere,Norfolk,1837,1938,"See Table 2, note (b).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Wolterton,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Wickmere.,Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Wood Dalling,Norfolk,1837,1938,"See Table 2, note (c).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
Wood Norton,Norfolk,1837,1938,"See Table 2, note (a).",Aylsham,http://www.ukbmd.org.uk/reg/districts/aylsham.html
