parish,county,from_year,to_year,comments,district,source_url
Aber,Caernarvonshire,1837,1974,,Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Bangor,Caernarvonshire,1837,1974,,Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Beaumaris,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanddaniel Fab,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanddona,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llandegai,Caernarvonshire,1837,1974,"See Table 
    2, note (d).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llandegfan,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llandysillo,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanedwen,Anglesey,1837,1933,"Abolished 1.10.1933 and divided between the parishes of Llanddaniel 
    Fãb and Llanfairpwllgwyngyll.",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanfaes,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanfair Pwllgwyngyll,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanfairfechan,Caernarvonshire,1837,1974,"See Table 2, note (e).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanffinan,Anglesey,1837,1933,"Abolished 1.10.1933 and divided between the parishes of Pentraeth 
    and Penmynydd.",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanfihangel Esgeifiog,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanfihangel Tyn Sylwy,Anglesey,1837,1933,"Abolished 1.10.1933 and added to the parish of Llaniestyn 
    Rural.",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llangoed,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llaniestyn,Anglesey,1837,1894,"Abolished 1894 to become the separate parishes of Llaniestyn Urban 
    and Llaniestyn Rural.",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llanllechid,Caernarvonshire,1837,1974,"See  Table 2, note (d).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Llansadwrn,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Penmon,Anglesey,1837,1933,Abolished 1.10.1933 and added to the parish of Llangoed.,Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
Penmynydd,Anglesey,1837,1937,"See Table 2, note (c).",Bangor,http://www.ukbmd.org.uk/reg/districts/bangor.html
