parish,county,from_year,to_year,comments,district,source_url
Chipping Barnet,Hertfordshire,1837,1965,Abolished 1.4.1965 and added to the London borough of Barnet.,Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
East Barnet,Hertfordshire,1837,1965,Abolished 1.4.1965 and added to the London borough of Barnet.,Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Elstree,Hertfordshire,1837,1965,"See Table 2, notes (h) and (i).",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Finchley,Middlesex,1837,1939,"See Table 2, note (f).",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Friern Barnet,Middlesex,1837,1939,"See Table 2, notes (a) and (f).",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Monken Hadley,Middlesex,1837,1889,"Transferred from MIddlesex to Hertfordshire on 1.4.1889. See also 
    Table 2, notes (a) and (b). Abolished 1.4.1965 and added to the London borough of Barnet.",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Ridge,Hertfordshire,1837,1965,"See Table 2, notes (g) and (i).",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Shenley,Hertfordshire,1837,1965,"See Table 2, notes (d), (g) and (i).",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
South Mimms,Middlesex,1837,1889,"In 1889 the parts of the parish of South Mimms in the urban districts 
    of Barnet and East Barnet Valley became part of Hertfordshire, In 1894 these 
    areas became parts of the parishes of South Mimms Urban and Monken Hadley respectively and thereaffter South Mimms was again wholly in Middlesex. See also Table 2, 
    notes (c) and (e).",Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
Totteridge,Hertfordshire,1837,1965,Abolished 1.4.1965 and added to the London borough of Barnet.,Barnet,http://www.ukbmd.org.uk/reg/districts/barnet.html
