parish,county,from_year,to_year,comments,district,source_url
Annesley,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Arnold,Nottinghamshire,1837,1974,"Abolished 1.4.1974 and added to the Gedling unparished area. See also Table 
    2, note (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Barton in Fabis,Nottinghamshire,1837,1974,"See Table 2, note (w).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Basford,Nottinghamshire,1837,1899,"Abolished 1.4.1899 and added to the parish of Nottingham. 
    See also Table 2, note (i).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Beeston,Nottinghamshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Beeston 
    & Stapleford and Nottingham. See also Table 2, note (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Bilborough,Nottinghamshire,1837,1933,"Abolished 1.4.1933 and added to the parish of Nottingham. 
    See also Table 2, note (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Bradmore,Nottinghamshire,1837,1974,"See Table 2, note (w).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Bulwell,Nottinghamshire,1837,1899,"Abolished 1.4.1899 and added to the parish of Nottingham. 
    See also Table 2, note (i).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Bunny,Nottinghamshire,1837,1974,"See Table 2, note (w).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Burton Joyce,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Calverton,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Carlton,Nottinghamshire,1837,1974,"Abolished 1.4.1974 and added to the Gedling unparished 
    area. See also Table 2, note (e).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Clifton with Glapton,Nottinghamshire,1837,1952,"Abolished 1.4.1952 and divided between the parishes of Nottingham, 
    Beeston & Stapleford and Barton in Fabis. See also Table 2, notes (r) and 
    (s).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Codnor & Loscoe,Derbyshire,1837,1936,"See Table 2, note (q).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Codnor Park,Derbyshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Alfreton 
    and Codnor & Loscoe. See also Table 2, note (j).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Colwick,Nottinghamshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Carlton 
    and Holme Pierrepont. See also Table 2, notes (k) and (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Cossall,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Eastwood,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Felley,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Gamston,Nottinghamshire,1837,1936,"See Table 2, note (k).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Gedling,Nottinghamshire,1837,1935,Abolished 1.4.1935 and added to the parish of Carlton.,Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Gotham,Nottinghamshire,1837,1974,"See Table 2, note (w).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Greasley,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Heanor,Derbyshire,1837,1936,"See Table 2, note (q).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Hucknall Torkard,Nottinghamshire,1837,1974,Abolished 1.4.1974 and added to the Ashfield unparished area.,Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Ilkeston,Derbyshire,1837,1936,"See Table 2, note (q).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Kimberley,Nottinghamshire,1837,2012,"Created 1.4.1896 out of the parish of Greasley. See also Table 
    2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Kirkby in Ashfield,Nottinghamshire,1837,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, notes (g), (h) and (u).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
