parish,county,from_year,to_year,comments,district,source_url
Ashburnham,Sussex,1837,1889,"See Table 2, notes (b) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Battle,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Bexhill,Sussex,1837,1889,"Abolished 1.4.1974 to become the Rother unparished area. See also Table 
    2, note (d).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Brightling,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Catsfield,Sussex,1837,1889,"See Table 2, notes (c) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Crowhurst,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Dallington,Sussex,1837,1889,"See Table 2, notes (b) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Ewhurst,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Hollington,Sussex,1837,1889,"Abolished 9.11.1897 and divided between the parishes of Hollington 
    St. John and Hollington Rural.",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Mountfield,Sussex,1837,1889,"See Table 2, notes (a) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Penhurst,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Sedlescombe,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Westfield,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Whatlington,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
