parish,county,from_year,to_year,comments,district,source_url
Arlesey,Bedfordshire,1837,1999,"See Table 2, notes (a), (b), (c), (d) and (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Astwick,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Biggleswade,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Blunham,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Campton,Bedfordshire,1837,1985,Abolished 1.4.1985 and added to the parish of Campton & Chicksands.,Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Chicksands,Bedfordshire,1837,1985,"Originally ""Chicksands Priory"". Abolished 1.4.1985 
    and divided between the parishes of Campton & Chicksands and Haynes. See also 
    Table 2, note (f).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Clifton,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Cockayne Hatley,Bedfordshire,1837,1985,"Abolished 1.4.1985 and added to the parish of Wrestlingworth 
    & Cockayne Hatley.",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Dunton,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Edworth,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Everton,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Eyeworth,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Henlow,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Langford,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Meppershall,Bedfordshire,1837,1899,"The part in Hertfordshire was transferred to Bedfordshire on 
    20.10.1844. 
    See also Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Mogerhanger,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Northill,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Old Warden,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Potton,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Sandy,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Shefford,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Shefford Hardwick,Bedfordshire,1837,1933,Abolished 1.4.1933 and added to the parish of Shefford.,Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Southill,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Stotfold,Bedfordshire,1837,1999,"See Table 2, notes (e) and (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Sutton,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Tempsford,Bedfordshire,1837,1999,"See Table 2, note (g).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Upper Stondon,Bedfordshire,1837,1985,"Abolished 1.4.1985 and added to the parish of Stondon. See 
    also Table 2, note (f).",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
Wrestlingworth,Bedfordshire,1837,1985,"Abolished 1.4.1985 and added to the parish of Wrestlingworth 
    & Cockayne Hatley.",Biggleswade,http://www.ukbmd.org.uk/reg/districts/biggleswade.html
