parish,county,from_year,to_year,comments,district,source_url
Albury,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Berden,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Birchanger,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Bishop's Stortford,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Braughing,Hertfordshire,1837,2008,"See Table 2, notes (c), (d), (e) and (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Brent Pelham,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Elsenham,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Farnham,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Furneux Pelham,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Great Hallingbury,Essex,1837,1939,"See Table 2, note (a).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Henham,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Little Hadham,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Little Hallingbury,Essex,1837,1939,"See Table 2, note (a).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Manuden,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Much Hadham,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Sawbridgeworth,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Stansted Mountfitchet,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Stocking Pelham,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Thorley,Hertfordshire,1837,2008,"See Table 2, note (f).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
Ugley,Essex,1837,1939,"See Table 2, note (b).",Bishops Stortford,http://www.ukbmd.org.uk/reg/districts/bishops%20stortford.html
