parish,county,from_year,to_year,comments,district,source_url
Chislet,Kent,1837,1941,"See Table 2, note (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Christchurch,Kent,1837,1910,"See Table 2, notes (c) and (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Hackington,Kent,1837,1941,"See Table 2, notes (a), (b), (d) and (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Herne,Kent,1837,1934,Abolished 1.4.1934 and added to the parish of Herne Bay.,Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Hoath,Kent,1837,1941,"See Table 2, note (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Reculver,Kent,1837,1934,Abolished 1.4.1934 and added to the parish of Herne Bay.,Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Seasalter,Kent,1837,1894,"Abolished 1894 and divided into the parishes of Whitstable Urban 
    and Whitstable cum Seasalter.",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
St. Cosmus & St. Damian in the Blean,Kent,1837,1941,"See Table 2, note (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
St. Dunstan,Kent,1837,1894,"Abolished 1894 to become the separate parishes of St. Dunstan 
    Within and St. Dunstan Without.",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
St. Gregory the Great,Kent,1837,1910,"See Table 2, note (c).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Staplegate,Kent,1837,1910,"See Table 2, note (c).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Sturry,Kent,1837,1941,"See Table 2, notes (c) and (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Swalecliffe,Kent,1837,1934,Abolished 1.4.1934 and added to the parish of Whitstable.,Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
The Archbishop's Palace Precincts,Kent,1837,1910,"See Table 2, note (c).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Westbere,Kent,1837,1941,"See Table 2, note (f).",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
Whitstable,Kent,1837,1894,"Abolished 1894 and divided into the parishes of Whitstable Urban 
    and Whitstable cum Seasalter.",Blean,http://www.ukbmd.org.uk/reg/districts/blean.html
