parish,county,from_year,to_year,comments,district,source_url
Birker & Austhwaite,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Eskdale.,Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Bootle,Cumberland,1837,1939,"See Table 2, note (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Corney,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Waberthwaite.,Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Drigg & Carleton,Cumberland,1837,1939,"See Table 2, notes (a) and (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Eskdale & Wasdale,Cumberland,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Eskdale 
    and Nether Wasdale. See also Table 2, note (e).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Irton with Santon,Cumberland,1837,1939,"See Table 2, note (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Millom,Cumberland,1837,1939,"See Table 2, note (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Muncaster,Cumberland,1837,1939,"See Table 2, note (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Ulpha,Cumberland,1837,1939,"See Table 2, notes (c) and (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Waberthwaite,Cumberland,1837,1939,"See Table 2, note (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Whicham,Cumberland,1837,1939,"See Table 2, note (d).",Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
Whitbeck,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Whicham.,Bootle Cul,http://www.ukbmd.org.uk/reg/districts/bootle1.html
