parish,county,from_year,to_year,comments,district,source_url
Allerton,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Bolton,Yorkshire West Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Bradford.,Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Bowling,Yorkshire West Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Bradford.,Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Bradford,Yorkshire West Riding,1837,1974,"Abolished 1.4.1974 and added to the Bradford unparished area. See also Table 
    2, note (b).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Calverley with Farsley,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Clayton,Yorkshire West Riding,1837,1891,"See Table 2, notes (a) and (c).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Cleckheaton,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Drighlington,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Eccleshill,Yorkshire West Riding,1837,1891,"See Table 2, notes (a) and (c).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Heaton,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Horton,Yorkshire West Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Bradford.,Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Hunsworth,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Idle,Yorkshire West Riding,1837,1891,"See Table 2, notes (a), (c) and (d).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Manningham,Yorkshire West Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Bradford.,Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
North Bierley,Yorkshire West Riding,1837,1891,"See Table 2, notes (a) and (c).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Pudsey,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Shipley,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Thornton,Yorkshire West Riding,1837,1891,"See Table 2, notes (a) and (c).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Tong,Yorkshire West Riding,1837,1891,"See Table 2, notes (a) and (c).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Wilsden,Yorkshire West Riding,1837,1891,"See Table 2, note (a).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
Wyke,Yorkshire West Riding,1837,1891,"See Table 2, notes (a) and (c).",Bradford,http://www.ukbmd.org.uk/reg/districts/bradford.html
