parish,county,from_year,to_year,comments,district,source_url
Askerton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Brampton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Burtholme,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Carlatton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Castle Carrock,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Cumrew,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Cumwhitton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Farlam,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Geltsdale,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Hayton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Irthington,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Kingwater,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Midgeholme,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Nether Denton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Upper Denton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Walton,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
Waterhead,Cumberland,1837,1937,"See Table 2, note (a).",Brampton,http://www.ukbmd.org.uk/reg/districts/brampton.html
