parish,county,from_year,to_year,comments,district,source_url
Althorp,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Boughton,Northamptonshire,1837,1974,"See Table 2, notes (b), (e), (j), (l) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Brington,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Brixworth,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Chapel Brampton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Church Brampton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Cold Ashby,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Coton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Ravensthorpe.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Cottesbrook,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Creaton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Draughton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
East Haddon,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Faxton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Lamport.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Guilsborough,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hanging Houghton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Lamport.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hannington,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Harlestone,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Haselbech,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Holcot,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Holdenby,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hollowell,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Lamport,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Little Creaton,Northamptonshire,1837,1884,Abolished 25.3.1884 and added to the parish of  Creaton.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Maidwell,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Mawsley,Northamptonshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Loddington. 
    See also Table 2, note (c).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Moulton,Northamptonshire,1837,1974,"See Table 2, notes (j), (l) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Naseby,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Old,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Overstone,Northamptonshire,1837,1974,"See Table 2, notes (l), (m), (n) and (p).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Pitsford,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Ravensthorpe,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Scaldwell,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Spratton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Teeton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Hollowell.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Thornby,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Walgrave,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
