parish,county,from_year,to_year,comments,district,source_url
Addington,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Adstock,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Akeley,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Barton Hartshorn,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Beachampton,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Buckingham,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Charndon,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Chetwode,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Edgcott,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Foscott,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Hillesden,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Leckhampstead,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Lillingstone Dayrell,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Maids Moreton,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Marsh Gibbon,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Middle Claydon,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Oldwick,Buckinghamshire,1837,1868,Abolished 25.12.1868 and added to the parish of Shalstone.,Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Padbury,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Poundon,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Preston Bissett,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Radclive,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Shalstone,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Steeple Claydon,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Stowe,Buckinghamshire,1837,1935,"The part in Oxfordshire was transfererd to Buckinghamshire on 
    20.10.1844. 
    See also Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Thornborough,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Thornton,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Tingewick,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Twyford,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
Water Stratford,Buckinghamshire,1837,1935,"See Table 2, note (a).",Buckingham,http://www.ukbmd.org.uk/reg/districts/buckingham.html
