parish,county,from_year,to_year,comments,district,source_url
Ainsworth,Lancashire,1837,1933,Abolished 1.10.1933 and added to the parish of Radcliffe.,Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Ashworth,Lancashire,1837,1894,Abolished 1894 and added to the parish of Birtle cum Bamford.,Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Birtle cum Bamford,Lancashire,1837,1933,"Abolished 1.10.1933 and divided between the parishes of Rochdale, 
    Heywood and Bury. See also Table 2, note (i).",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Bury,Lancashire,1837,1974,"Abolished 1.4.1974 and added to the Bury unparished area. 
    See also Table 2, notes (k) and (l).",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Elton,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Ramsbottom, 
    Bury, Tottington, Ainsworth and, Radcliffe.",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Heap,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Heywood, Bury, 
    Birtle cum Bamford and Unsworth.",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Hopwood,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Heywood, Middleton and Castleton by Rochdale. See also Table 2, notes (c) and (d).",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Pilkington,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Whitefield, 
    Unsworth, Outwood, Bury and Radcliffe.",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Pilsworth,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Heywood, Unsworth and Bury.",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Radcliffe,Lancashire,1837,1934,"See Table 2, note (h).",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Tottington Lower End,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Tottington, 
    Bury and Haslingden. See also Table 2, note (a).",Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
Walmersley with Shuttleworth,Lancashire,1837,1933,Abolished 1.10.1933 and added to the parish of Ramsbottom.,Bury,http://www.ukbmd.org.uk/reg/districts/bury.html
