parish,county,from_year,to_year,comments,district,source_url
Abergwili,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Abernant,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Carmarthen St. Peter,Carmarthenshire,1837,1974,Renamed 1.4.1974 to become the community of Carmarthen.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Conwil Elvet,Carmarthenshire,1837,1974,Renamed 1.4.1974 to become the community of Cynwyl Elfed.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Laugharne,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanddowror.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Laugharne Parish,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanarthney,Carmarthenshire,1837,1974,"See Table 2, notes (b) and (d).",Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llandawke,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanddowror.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanddarog,Carmarthenshire,1837,1974,"See Table 2, note (b).",Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanddowror,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llandefeilog,Carmarthenshire,1837,1974,Renamed 1.4.1974 to become the community of Llandyfaelog.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llandilo Abercowin,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llangynog.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanfihangel Abercowin,Carmarthenshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of St. Clears, 
    Llangynog and Newchurch.",Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llangain,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llangendeirne,Carmarthenshire,1837,1974,"See Table 2, notes (a) and (b).",Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llangunnor,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llangynin,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llangynog,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanllawddog,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanpumsaint,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llansindurnen,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanddowror.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanstephan,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Llanwinio,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Merthyr,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Newchurch.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Mydrim,Carmarthenshire,1837,1974,Renamed 1.4.1974 to become the community of Meidrim.,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Newchurch,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
St. Clears,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
St. Ishmael,Carmarthenshire,1837,1974,"See Table 2, note (a).",Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
Trelech a'r Betws,Carmarthenshire,1837,1974,,Carmarthen,http://www.ukbmd.org.uk/reg/districts/carmarthen.html
