parish,county,from_year,to_year,comments,district,source_url
Boreham,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Broomfield,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Buttsbury,Essex,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Billericay 
    and Stock. See also Table 2, note (g).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Chelmsford,Essex,1837,1974,Abolished 1.4.1974 to become an unparished area.,Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Chignall Smealey,Essex,1837,1888,Abolished 24.3.1888 and added to the parish of Chignall.,Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Chignall St. James,Essex,1837,1888,"Abolished 24.3.1888 and divided between the parishes of Writtle, 
    Broomfield and Chignall.",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Danbury,Essex,1837,2010,"See Table 2, notes (e) and (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
East Hanningfield,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Fryerning,Essex,1837,1889,"Abolished 24.3.1889 and added to the parish of Ingatestone 
    & Fryerning.",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Good Easter,Essex,1837,2010,"See Table 2, notes (c), (d) and (j).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Great Baddow,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Great Leighs,Essex,1837,1949,"Abolished 1.4.1949 and divided between the parishes of Great & 
    Little Leighs and Little Waltham.",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Great Waltham,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Ingatestone,Essex,1837,1889,"Abolished 24.3.1889 and added to the parish of Ingatestone 
    & Fryerning.",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Little Baddow,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Little Leighs,Essex,1837,1949,"Abolished 1.4.1949 and added to the parish of Great & Little 
    Leighs.",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Little Waltham,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Margaretting,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Mashbury,Essex,1837,2010,"See Table 2, notes (d) and (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Pleshey,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Rettendon,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Roxwell,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Runwell,Essex,1837,2010,"See Table 2, notes (b) and (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Sandon,Essex,1837,2010,"See Table 2, notes (e) and (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
South Hanningfield,Essex,1837,2010,"See Table 2, notes (b), (f) and (j).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Springfield,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Stock,Essex,1837,2010,"See Table 2, notes (a) and (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
West Hanningfield,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Widford,Essex,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Chelmsford 
    and Writtle.",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Woodham Ferrers,Essex,1837,1987,"Abolished 1.4.1987 and divided between the parishes of South 
    Woodham Ferrers and Woodham Ferrers & Bicknacre. See also Table 2, note 
    (h).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
Writtle,Essex,1837,2010,"See Table 2, note (o).",Chelmsford,http://www.ukbmd.org.uk/reg/districts/chelmsford.html
