parish,county,from_year,to_year,comments,district,source_url
Ashover,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Bolsover,Derbyshire,1837,1974,"Renamed 1.4.1974 to become the parish of Old Bolsover. See also 
    Table 2, note (a).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Brackenfield,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Brampton,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Brimington,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Calow,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Chesterfield,Derbyshire,1837,1974,Abolished 1.4.1974 to become an unparished area.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Clay Lane,Derbyshire,1837,1935,Abolished 1.4.1935 and added to the parish of Clay Cross.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Coal Aston,Derbyshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Dronfield 
    and Eckington. See also Table 2, note (c).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Dronfield,Derbyshire,1837,2013,"See Table 2, notes (i), (h) and (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Eckington,Derbyshire,1837,2013,"See Table 2, notes (c), (h), (m), (n) and (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Great Barlow,Derbyshire,1837,1879,Abolished 29.9.1879 and added to the parish of Barlow.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Hasland,Derbyshire,1837,1982,"Renamed 7.10.1982 to become the parish of Grassmoor, Hasland & 
    Winsick.",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Heath,Derbyshire,1837,1987,Renamed 5.1.1987 to become the parish of Heath & Holmewood.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Holmesfield,Derbyshire,1837,2013,"See Table 2, notes (c), (i), (h) and (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Killamarsh,Derbyshire,1837,2013,"See Table 2, notes (h), (k), (l) and (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Little Barlow,Derbyshire,1837,1879,Abolished 29.9.1879 and added to the parish of Barlow.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Morton,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Newbold & Dunston,Derbyshire,1837,1920,"Abolished 9.11.1920 and divided between the parishes of Chesterfield 
    and Brampton.",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
North Wingfield,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Pilsley,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Shirland & Higham,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Staveley,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Stretton,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Sutton cum Duckmanton,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Tapton,Derbyshire,1837,1920,Abolished 9.11.1920 and added to the parish of Chesterfield.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Temple Normanton,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Tupton,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Unstone,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Walton,Derbyshire,1837,1989,"Renamed 2.2.1989 to become the parish of Holymoorside & 
    Walton.",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Wessington,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Whittington,Derbyshire,1837,1920,Abolished 9.11.1920 and added to the parish of Chesterfield.,Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Wingerworth,Derbyshire,1837,2013,"See Table 2, note (p).",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
Woodthorpe,Derbyshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Clay Cross, 
    Wingerworth and Tupton.",Chesterfield,http://www.ukbmd.org.uk/reg/districts/chesterfield.html
