parish,county,from_year,to_year,comments,district,source_url
Bishop's Castle In,Shropshire,1837,1884,Abolished 25.3.1885 and added to the parish of Bishop's Castle.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle Out,Shropshire,1837,1884,Abolished 25.3.1885 and added to the parish of Bishop's Castle.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Clun,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Clunbury,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Clungunford,Shropshire,1837,2005,"See Table 2, notes (e) and (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Dinmore,Shropshire,1837,1884,Abolished 25.3.1884 and added to the parish of Lydbury North.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Edgton,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Hill End,Shropshire,1837,1884,Abolished 25.3.1884 and added to the parish of Lydbury North.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Hopesay,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Hopton Castle,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Horderley Hall,Shropshire,1837,1884,Abolished 25.3.1884 and added to the parish of Edgton.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Hyssington,Montgomeryshire,1837,1933,"Abolished 1.4.1933 and added to the parish of Churchstoke. 
    See also Table 2, note (c).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Lydbury North,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Lydham,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Mainstone,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
More,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Myndtown,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Norbury,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Old Church Moor,Shropshire,1837,1884,Abolished 25.3.1884 and added to the parish of Lydbury North.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Ratlinghope,Shropshire,1837,2005,"See Table 2, notes (f) and (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Shelve,Shropshire,1837,1987,"Abolished 1.4.1987 and added to the parish of Worthen 
    with Shelve.",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Snead,Montgomeryshire,1837,1933,"On 25.3.1885 the part in Shropshire  became 
    part of the parish of Lydham, so that thereafter Snead was entirely in Montgomeryshire. 
    Abolished 1.4.1933 and added to the parish of Churchstoke. See also Table 
    2, note (c).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Wentnor,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
