parish,county,from_year,to_year,comments,district,source_url
Above Derwent,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Bassenthwaite,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Bewaldeth & Snittlegarth,Cumberland,1837,1974,"See Table 2, note (d).",Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Blindbothel,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
"Blindcrake, Isel & Redmaine",Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Blindcrake.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Borrowdale,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Bothel & Threapland,Cumberland,1837,1939,"See Table 2, note (c).",Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Brackenthwaite,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Buttermere.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Bridekirk,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Briery Cottages,Cumberland,1837,1894,Abolished 1894 and added to the parish of Keswick.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Brigham,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Buttermere,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Camerton,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Cloffocks,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Workington.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Cockermouth,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Crosscanonby,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Dean,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Dearham,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Dovenby,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Bridekirk.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Eaglesfield,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Dean.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Ellenborough & Ewanrigg,Cumberland,1837,1929,Abolished 1.4.1929 and added to the parish of Maryport.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Embleton,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Flimby,Cumberland,1837,1974,Abolished 1.4.1974 and added to the parish of Maryport.,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Gilcrux,Cumberland,1837,1939,"See Table 2, note (c).",Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Great Broughton,Cumberland,1837,1898,"Abolished 1.10.1898 and divided between the parishes of Broughton 
    and Broughton Moor.",Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Great Clifton,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
Greysouthen,Cumberland,1837,1974,,Cockermouth,http://www.ukbmd.org.uk/reg/districts/cockermouth.html
