parish,county,from_year,to_year,comments,district,source_url
All Saints,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
Berechurch,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
Greenstead,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
Holy Trinity,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
Lexden,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester. See also Table 2, note (a).",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
Mile End St. Michael,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Botolph,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Giles,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. James,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Leonard,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Martin,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Mary at the Walls,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Mary Magdalen,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Nicholas,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Peter,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
St. Runwald,Essex,1837,1897,"Abolished 26.3.1897 and added to the parish of 
Colchester.",Colchester,http://www.ukbmd.org.uk/reg/districts/colchester.html
