parish,county,from_year,to_year,comments,district,source_url
Ashby St. Ledger,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Badby,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Braunston,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Brockhall,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Byfield,Northamptonshire,1837,2010,"See Table 2, notes (a) and (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Canons Ashby,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Catesby,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Charwelton,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Daventry,Northamptonshire,1837,1974,Abolished 1.4.1974 to become an unparished area.,Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Dodford,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Everdon,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Farthingstone,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Fawsley,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Flore,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Hellidon,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Long Buckby,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Newnham,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Norton,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Preston Capes,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Staverton,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Stowe Nine Churches,Northamptonshire,1837,2001,Renamed 25.6.2001 to become the parish of Stowe IX Churches.,Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Watford,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Weedon Bec,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Welton,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
West Haddon,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Whilton,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Winwick,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
Woodford cum Membris,Northamptonshire,1837,2010,"See Table 2, note (d).",Daventry,http://www.ukbmd.org.uk/reg/districts/daventry.html
