parish,county,from_year,to_year,comments,district,source_url
Claines,Worcestershire,1837,1885,"Abolished 30.9.1885 to become the separate parishes of North Claines 
    and South Claines. See also Table 2, note (d).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Crowle,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Crutch,Worcestershire,1837,1933,Abolished 1.4.1933 and added to the parish of Hampton Lovett.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Dodderhill,Worcestershire,1837,1974,"See Table 2, notes (b) and (l).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Doverdale,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Elmbridge,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Elmley Lovett,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Grafton Manor,Worcestershire,1837,1863,"See Table 2, note (a).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Hadzor,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Hampton Lovett,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Hanbury,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Hartlebury,Worcestershire,1837,1974,"See Table 2, notes (f), (g) and (n).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Himbleton,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Hindlip,Worcestershire,1837,1974,"See Table 2, note (r).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Huddington,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
In Liberties,Worcestershire,1837,1884,"Abolished 25.3.1884 and divided between the parishes of St. Nicholas, 
    St. Peter and St. Andrew.",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Marlborough in the Vines,Worcestershire,1837,1881,Abolished 25.3.1881 and added to the parish of In Liberties.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Martin Hussingtree,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Oddingley,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Ombersley,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Paper Mills,Worcestershire,1837,1884,"Abolished 25.3.1884 and added to the parish of 
    Dodderhill.",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Salwarpe,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Shell,Worcestershire,1837,1884,Abolished 25.3.1884 and added to the parish of Himbleton.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
St. Andrew,Worcestershire,1837,1920,Abolished 1.4.1920 and added to the parish of Droitwich.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
St. Nicholas,Worcestershire,1837,1920,Abolished 1.4.1920 and added to the parish of Droitwich.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
St. Peter,Worcestershire,1837,1920,Abolished 1.4.1920 and added to the parish of Droitwich.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Stock & Bradley,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Tibberton,Worcestershire,1837,1974,,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Upper Mitton,Worcestershire,1837,1928,Abolished 1.4.1928 and added to the parish of Stourport.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Upton Warren,Worcestershire,1837,1974,"See Table 2, notes (b), (c) and (l).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Warndon,Worcestershire,1837,1974,"See Table 2, notes (r) and (s).",Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
Westwood Park,Worcestershire,1837,1937,Renamed 8.11.1937 to become the parish of Westwood.,Droitwich,http://www.ukbmd.org.uk/reg/districts/droitwich.html
