parish,county,from_year,to_year,comments,district,source_url
Burdon,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Castle Eden,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Cold Hesledon,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Dalton-le-Dale,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Dawdon,Durham,1837,1937,Abolished 1.4.1937 and added to the parish of Seaham.,Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Easington,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
East Murton,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Haswell,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Hawthorn,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Hutton Henry,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Kelloe,Durham,1837,1938,"See Table 2, notes (a) and (c).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Monk Hesleden,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Nesbitt,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Seaham,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Seaton with Slingley,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Sheraton with Hulam,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Shotton,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Thornley,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
Wingate,Durham,1837,1938,"See Table 2, note (b).",Easington,http://www.ukbmd.org.uk/reg/districts/easington.html
