parish,county,from_year,to_year,comments,district,source_url
Alfriston,Sussex,1837,1889,"See Table 2, notes (c) and (d).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Eastdean,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Eastbourne,Sussex,1837,1889,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, note (e).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Folkington,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Friston,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Jevington,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Litlington,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Lullington,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Pevensey,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Seaford,Sussex,1837,1889,"See Table 2, note (b).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Westdean,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Westham,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Willingdon,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
Wilmington,Sussex,1837,1889,"See Table 2, note (c).",Eastbourne,http://www.ukbmd.org.uk/reg/districts/eastbourne.html
