parish,county,from_year,to_year,comments,district,source_url
Ash,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Barfreston,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Eythorne.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Betteshanger,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Northbourne.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Chillenden,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Goodnestone.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Deal,Kent,1837,1941,"See Table 2, note (a).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Eastry,Kent,1837,1941,"See Table 2, note (a).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Elmstone,Kent,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Preston 
    and Wingham.",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Eythorne,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Goodnestone,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Great Mongeham,Kent,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Deal and 
    Sholden.",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Ham,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Northbourne.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Knowlton,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Goodnestone.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Little Mongeham,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Sutton.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Nonington,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Northbourne,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Preston,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Ripple,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Sholden,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
St. Bartholomew's Hospital,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Sandwich.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
St. Clement,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Sandwich.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
St. Mary,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Sandwich.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
St. Peter,Kent,1837,1935,Abolished 1.4.1935 and added to the parish of Sandwich.,Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Staple,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Stourmouth,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Sutton,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Tilmanstone,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Waldershare,Kent,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Tilmanstone 
    and Ripple.",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Walmer,Kent,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Deal and 
    Sholden.",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Wingham,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Woodnesborough,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
Worth,Kent,1837,1941,"See Table 2, note (b).",Eastry,http://www.ukbmd.org.uk/reg/districts/eastry.html
