parish,county,from_year,to_year,comments,district,source_url
Chigwell,Essex,1837,1974,"Abolished 1.4.1974 and added to the Enfield Forest 
    unparished area. See also Table 2, note (e).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Chingford,Essex,1837,1965,"Abolished 1.4.1965 and added to the London borough of Waltham 
    Forest. See also Table 2, notes (a) and (f).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Epping,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Great Parndon,Essex,1837,1955,"Abolished 1.4.1955 and divided between the parishes of Harlow, 
    Epping Upland, Roydon and North Weald Bassett. See also Table 2, notes (c) 
    and (d).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Harlow,Essex,1837,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, note (i).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Latton,Essex,1837,1949,"Abolished 1.4.1949 and divided between the parishes of Harlow and 
    North Weald Bassett.",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Little Parndon,Essex,1837,1949,Abolished 1.4.1949 and added to the parish of Netteswell.,Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Loughton,Essex,1837,1974,"Abolished 1.4.1974 and added to the Epping Forest 
    unparished area. 
    See also Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Magdalen Laver,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Matching,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Nazeing,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Netteswell,Essex,1837,1955,"Abolished 1.4.1955 and added to the parish of Harlow. See 
    also Table 2, note (c).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
North Weald Bassett,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Roydon,Essex,1837,1974,"See Table 2, notes (c) and (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Sheering,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Theydon Bois,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
Theydon Garnon,Essex,1837,1974,"See Table 2, note (h).",Epping,http://www.ukbmd.org.uk/reg/districts/epping.html
