parish,county,from_year,to_year,comments,district,source_url
Ashtead,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Banstead,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Carshalton,Surrey,1837,1934,"See Table 2, notes (c) and (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Cheam,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Chessington,Surrey,1837,1934,"See Table 2, notes (b) and (d).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Cobham,Surrey,1837,1934,"See Table 2, note (d).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Cuddington,Surrey,1837,1934,"See Table 2, notes (c) and (d).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Epsom,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Ewell,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Fetcham,Surrey,1837,1934,"See Table 2, notes (c) and (e).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Great Bookham,Surrey,1837,1934,"See Table 2, notes (c) and (e).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Leatherhead,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Little Bookham,Surrey,1837,1934,"See Table 2, notes (c) and (e).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Stoke D'Abernon,Surrey,1837,1934,"See Table 2, note (d).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
Sutton,Surrey,1837,1934,"See Table 2, note (c).",Epsom,http://www.ukbmd.org.uk/reg/districts/epsom.html
