parish,county,from_year,to_year,comments,district,source_url
Ash & Normandy,Surrey,1846,1869,"See Table 2, notes (a) and (c).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Bramshott,Hampshire,1846,1869,"See Table 2, notes (a) and (f).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Cove,Hampshire,1846,1869,"See Table 2, notes (a) and (e).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Farnborough,Hampshire,1846,1869,"See Table 2, notes (a) and (e).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Hawley with Minley,Hampshire,1846,1869,"See Table 2, notes (a) and (e).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Headley,Hampshire,1846,1869,"See Table 2, notes (a) and (b).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Kingsley,Hampshire,1846,1869,"See Table 2, notes (a) and (b).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Long Sutton,Hampshire,1846,1869,"See Table 2, notes (a) and (e).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Puttenham,Surrey,1846,1869,"See Table 2, notes (a) and (d).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Seal,Surrey,1846,1869,"See Table 2, notes (a) and (c).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
Yateley,Hampshire,1846,1869,"See Table 2, notes (a) and (e).",Farnborough (1847-69),http://www.ukbmd.org.uk/reg/districts/farnborough.html
