parish,county,from_year,to_year,comments,district,source_url
Ashby with Oby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Billockby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Burgh St. Margaret & St. Mary,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Caister next Yarmouth,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Clippesby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
East Somerton,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Filby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Hemsby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Martham,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Mautby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Ormesby St. Margaret with Scratby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Ormesby St. Michael,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Repps with Bastwick,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Rollesby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Runham,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Stokesby with Herringby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Thrigby,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Thurne,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
West Somerton,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
Winterton,Norfolk,1837,1923,"See Table 2, note (a).",Flegg,http://www.ukbmd.org.uk/reg/districts/flegg.html
