parish,county,from_year,to_year,comments,district,source_url
Banham,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Blo' Norton,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Bressingham,Norfolk,1837,1902,"See Table 2, note (a).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Bridgham,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
East Harling,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Eccles,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Fersfield,Norfolk,1837,1902,"See Table 2, note (a).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Garboldisham,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Gasthorpe,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Kenninghall,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
New Buckenham,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
North Lopham,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Old Buckenham,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Quidenham,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Riddlesworth,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Roydon,Norfolk,1837,1902,"See Table 2, note (a).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Shelfanger,Norfolk,1837,1902,"See Table 2, note (a).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
South Lopham,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
West Harling,Norfolk,1837,1902,"See Table 2, note (c).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Wilby,Norfolk,1837,1902,"See Table 2, note (b).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
Winfarthing,Norfolk,1837,1902,"See Table 2, note (a).",Guiltcross,http://www.ukbmd.org.uk/reg/districts/guiltcross.html
