parish,county,from_year,to_year,comments,district,source_url
Ambleston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Boulston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Brawdy,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Camrose,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Castlebythe,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Cathedral Close of St. Davids,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Dale,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Fishguard,Pembrokeshire,1837,1907,"Abolished 2.4.1907 to become the separate parishes of Fishguard 
    North, Fishguard South.",Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Freystrop,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Furzy Park & Portfield,Pembrokeshire,1837,1974,Abolished 1.4.1974 and added to the community of Haverfordwest.,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Granston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Grassholm Island,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Haroldston St. Issells,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Haroldston West,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Hasguard,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Hayscastle,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Henrys Moat,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Herbrandston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Hubberston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Johnston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Jordanston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Lambston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Letterston,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Little Newcastle,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
Llandeloy,Pembrokeshire,1837,1974,,Haverfordwest,http://www.ukbmd.org.uk/reg/districts/haverfordwest.html
