parish,county,from_year,to_year,comments,district,source_url
Ackworth,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Badsworth,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Brierley,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (h).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Great Houghton,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (h).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Hamphall Stubbs,Yorkshire West Riding,1850,1938,"Abolished 1.4.1938 and added to the parish of Hampole. See 
    also Table 2, notes (b) and (c).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Havercroft with Cold Hiendley,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Hemsworth,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Hessle,Yorkshire West Riding,1850,1888,"Abolished 24.3.1888 and added to the parish of Hessle with 
    Hill Top.",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Hill Top,Yorkshire West Riding,1850,1888,"Abolished 24.3.1888 and added to the parish of Hessle with 
    Hill Top.",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Huntwick with Foulby & Nostell,Yorkshire West Riding,1850,1974,"See Table 2, notes (b), (e), (f) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Kirk Smeaton,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (j).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Little Houghton,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (h).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Little Smeaton,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (j).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
North Elmsall,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Ryhill,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Shafton,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (h).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Skelbrooke,Yorkshire West Riding,1850,1938,"Abolished 1.4.1938 and added to the parish of Hampole. See 
    also Table 2, notes (a) and (c).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
South Elmsall,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
South Hiendley,Yorkshire West Riding,1850,1974,"See Table 2, notes (a) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
South Kirkby,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Thorpe Audlin,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Upton,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Walden Stubbs,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (j).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
West Hardwick,Yorkshire West Riding,1850,1974,"See Table 2, notes (b) and (d).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
Wintersett,Yorkshire West Riding,1850,1946,"See Table 2, notes (a), (e) and (i).",Hemsworth,http://www.ukbmd.org.uk/reg/districts/hemsworth.html
