parish,county,from_year,to_year,comments,district,source_url
Abbots Bickington,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Ashwater,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Black Torrington,Devon,1837,1998,"See Table 2, notes (c) and (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Bradford,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Bridgerule East,Devon,1837,1950,Abolished 1.4.1950 and added to the parish of Bridgerule.,Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Broadwood Widger,Devon,1837,1853,"See Table 2, note (a).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Clawton,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Cookbury,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Halwill,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Hollacombe,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Holsworthy,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Luffincott,Devon,1837,1998,"See Table 2, notes (g), (h), (i) and (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Milton Damerel,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
North Tamerton,Cornwall,1837,1936,"On 20.10.1844 the part in Devon was transfererd to Cornwall, so that thereafter North Tamerton was 
    entirely in Cornwall. 
    See also Table 2, note (f).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Northcott,Devon,1837,1853,"See Table 2, note (a).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Pancrasweek,Devon,1837,1998,"See Table 2, notes (h), (i) and (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Pyworthy,Devon,1837,1998,"See Table 2, notes (i), (j) and (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
St. Giles on the Heath,Devon,1837,1853,"See Table 2, note (a).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Sutcombe,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Tetcott,Devon,1837,1998,"See Table 2, notes (i) and (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Thornbury,Devon,1837,1998,"See Table 2, note (l).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
Virginstow,Devon,1837,1853,"See Table 2, note (a).",Holsworthy,http://www.ukbmd.org.uk/reg/districts/holsworthy.html
