parish,county,from_year,to_year,comments,district,source_url
Caerwys,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Cilcain,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Flint,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Gwaenysgor,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Halkyn,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Holywell,Flintshire,1837,1894,"Abolished 1894 to become the separate parishes of Holywell Rural, 
    Holywell Urban and Coleshill Fawr.",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Llanasa,Flintshire,1837,1974,"See Table 2, notes (c) and (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Mold,Flintshire,1837,1894,"Abolished 1894 to become the separate parishes of Mold Rural and 
    Mold Urban.",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Nannerch,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Nerquis,Flintshire,1837,1974,"Renamed 1.4.1974 to become the community of Nercwys. See also 
    Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Newmarket,Flintshire,1837,1974,"Renamed 1.4.1974 to become the community of Trelawnyd. See also 
    Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Northop,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Whitford,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
Ysceifiog,Flintshire,1837,1974,"See Table 2, note (e).",Holywell,http://www.ukbmd.org.uk/reg/districts/holywell.html
