parish,county,from_year,to_year,comments,district,source_url
Aldbourne,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Avington,Berkshire,1837,1934,Abolished 1.4.1934 and added to the parish of Kintbury.,Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Baydon,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Buttermere,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Chilton Foliat,Berkshire,1837,1895,"On 28.3.1895 the part in Berkshire  became 
    part of the parish of Hungerford, so that thereafter Chilton Foliat was 
    entirely 
    in Wiltshire. See also Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Combe,Hampshire,1837,1895,"Transferred from Hampshire to the county of Berkshire on 30.9.1895. 
    See also Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
East Garston,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
East Shefford,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Froxfield,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Great Bedwyn,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Ham,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Hipperscombe,Berkshire,1837,1894,Abolished 1894 and added to the parish of Tidcombe & Fosbury.,Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Hungerford,Berkshire,1837,1937,"On 28.3.1895 the part in Wiltshire  was 
    transferred to Berkshire, so that thereafter Hungerford was entirely in Berkshire. See also Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Inkpen,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Kintbury,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Lambourn,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Little Bedwyn,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Ramsbury,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Shalbourne,Berkshire,1837,1895,"On 30.9.1895 the part in Berkshire was 
    transferred  to Wiltshire, so that thereafter Shalbourne was entirely 
    in Wiltshire. See also Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
Tidcombe & Fosbury,Wiltshire,1837,1936,"See Table 2, note (a).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
West Shefford,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
West Woodhay,Berkshire,1837,1937,"See Table 2, note (b).",Hungerford,http://www.ukbmd.org.uk/reg/districts/hungerford.html
