parish,county,from_year,to_year,comments,district,source_url
Abbots Ripton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Alconbury,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Alconbury Weston,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
All Saints,Huntingdonshire,1837,1911,Abolished 1.10.1911 and added to the parish of Huntingdon.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Barham,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Barham & Woolley.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Brampton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Buckworth,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Conington,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Coppingford,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Upton & Coppingford.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Easton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Ellington,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Godmanchester,Huntingdonshire,1837,1961,"Abolished 1.4.1961 and added to the parish of Huntingdon 
    & Godmanchester.",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Great Raveley,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Upwood & The 
    Raveleys.",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Great Stukeley,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of The Stukeleys 
    and Huntingdon.",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Hamerton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Hartford,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Huntingdon, 
    Houghton & Wyton and Kings Ripton. See also Table 2, note (c).",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Kings Ripton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Leighton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Little Raveley,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Upwood & The 
    Raveleys.",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Little Stukeley,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of The Stukeleys.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Ramsey,Huntingdonshire,1837,1965,"See Table 2, note (f).",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Sawtry All Saints,Huntingdonshire,1837,1886,"Abolished 25.3.1886 and added to the parish of Sawtry All 
    Saints & St. Andrew.",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Sawtry St. Andrew,Huntingdonshire,1837,1886,"Abolished 25.3.1886 and added to the parish of Sawtry All 
    Saints & St. Andrew.",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Sawtry St. Judith,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Sawtry.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Spaldwick,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
St. Benedict,Huntingdonshire,1837,1911,Abolished 1.10.1911 and added to the parish of Huntingdon.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
St. John,Huntingdonshire,1837,1911,Abolished 1.10.1911 and added to the parish of Huntingdon.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
St. Mary,Huntingdonshire,1837,1911,Abolished 1.10.1911 and added to the parish of Huntingdon.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Steeple Gidding,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Upton,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Upton & Coppingford.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Upwood,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Upwood & The 
    Raveleys. See also Table 2, note (a).",Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Wood Walton,Huntingdonshire,1837,1965,,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
Woolley,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Barham & Woolley.,Huntingdon,http://www.ukbmd.org.uk/reg/districts/huntingdon.html
