parish,county,from_year,to_year,comments,district,source_url
Shire Hall Yard,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Clement,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Helen,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Lawrence,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Margaret,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Mary at the Elms,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Mary at the Quay,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Mary at the Tower,Suffolk,1837,1889,Abolished 25.3.1903 and added to the parish of Ipswich.,Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Mary Stoke,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Matthew,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, notes (b) and (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Nicholas,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Peter,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
St. Stephen,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
Warren House,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (c).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
Westerfield,Suffolk,1837,1889,"See Table 2, note (d).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
Whitton cum Thurlston,Suffolk,1837,1889,"Abolished 25.3.1903 and added to the parish of Ipswich. See 
    also Table 2, note (b).",Ipswich,http://www.ukbmd.org.uk/reg/districts/ipswich.html
