parish,county,from_year,to_year,comments,district,source_url
Arreton,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Binstead,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Bonchurch,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Brading,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Brighstone,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Brook,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Calbourne,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Carisbrooke,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Chale,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Freshwater,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Gatcombe,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Godshill,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Kingston,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Mottistone,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Newchurch,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Newport,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Niton,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Northwood,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Shalfleet,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Shanklin,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Shorwell,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
St. Helens,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
St. Lawrence,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
St. Nicholas,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Thorley,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Whippingham,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Whitwell,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Wootton,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Yarmouth,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
Yaverland,Hampshire,1837,1890,,Isle of Wight,http://www.ukbmd.org.uk/reg/districts/isle%20of%20wight.html
