parish,county,from_year,to_year,comments,district,source_url
Aldborough,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Allerton Mauleverer with Hopperton,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Arkendale,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Bilton with Harrogate,Yorkshire West Riding,1837,1894,"Abolished 1894 to become the separate parishes of Harrogate and 
    Bilton.",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Birstwith,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Boroughbridge,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Brearton,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Cattal,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Clareton,Yorkshire West Riding,1837,1856,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Clint,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Coneythorpe,Yorkshire West Riding,1837,1856,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Copgrove,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Cowthorpe,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Ellenthorpe,Yorkshire North Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Farnham,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Felliscliffe,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Ferrensby,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Flaxby,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Follifoot,Yorkshire West Riding,1837,1946,"See Table 2, notes (f) and (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Goldsborough,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Great Ouseburn,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Great Ribston with Walshford,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Green Hammerton,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Hampsthwaite,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Hunsingore,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Kearby with Netherby,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Killinghall,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Kirby Hall,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Kirk Deighton,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Kirk Hammerton,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Kirkby Overblow,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Knaresborough,Yorkshire West Riding,1837,1946,"See Table 2, note (g).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Linton,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Little Ouseburn,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
Little Ribston,Yorkshire West Riding,1837,1854,"See Table 2, note (e).",Knaresborough,http://www.ukbmd.org.uk/reg/districts/knaresborough.html
