parish,county,from_year,to_year,comments,district,source_url
Aldcliffe,Lancashire,1837,1935,Abolished 1.4.1935 and added to the parish of Lancaster.,Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Arkholme with Cawood,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Ashton with Stodday,Lancashire,1837,1980,Abolished 1.4.1980 and added to the parish of Thurnham.,Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Bolton-le-Sands,Lancashire,1837,2005,"See Table 2, note (j).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Borwick,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Bulk,Lancashire,1837,1900,"Abolished 9.11.1900 and divided between the parishes of Lancaster 
    and Quernmore. See also Table 2, note (d).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Burrow with Burrow,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Cantsfield,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Carnforth,Lancashire,1837,2005,"See Table 2, note (j).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Caton with Littledale,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Claughton,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Cockerham,Lancashire,1837,2005,"See Table 2, note (j).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Cockersand Abbey,Lancashire,1837,1935,"Abolished 1.4.1935 and added to the parish of Thurnham. See 
    also Table 2, note (c).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Ellel,Lancashire,1837,2005,"See Table 2, notes (b) and (j).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
Farleton,Lancashire,1837,1869,"See Table 2, note (a).",Lancaster,http://www.ukbmd.org.uk/reg/districts/lancaster.html
