parish,county,from_year,to_year,comments,district,source_url
Altarnun,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Boyton,Cornwall,1837,2007,"See Table 2, notes (g) and (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Egloskerry,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Laneast,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Lawhitton,Cornwall,1837,1894,"Abolished 1894 to become the separate parishes of Lawhitton Urban 
    and Lawhitton Rural.",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Lewannick,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Lezant,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
North Petherwin,Devon,1837,1936,"See Table 2, note (d).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
North Hill,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
South Petherwin,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
St. Mary Magdalene,Cornwall,1837,1922,"Abolished 1.4.1922 and added to the parish of Launceston 
    (otherwise Dunheved).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
St. Stephens,Cornwall,1837,1894,"Abolished 1894 to become the separate parishes of St. Stephens 
    in Launceston Urban and St. Stephens in Launceston Rural.",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
St. Thomas Street,Cornwall,1837,1922,"Abolished 1.4.1922 and added to the parish of Launceston 
    (otherwise Dunheved).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
St. Thomas the Apostle,Cornwall,1837,1894,"Abolished 1894 to become the separate parishes of St. Thomas the 
    Apostle Urban and St. Thomas the Apostle Rural.",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Stokeclimsland,Cornwall,1837,2007,"See Table 2, notes (e) and (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Tremaine,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Treneglos,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Tresmeer,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Trewen,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Warbstow,Cornwall,1837,2007,"See Table 2, note (h).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
Werrington,Devon,1837,1936,"See Table 2, note (d).",Launceston,http://www.ukbmd.org.uk/reg/districts/launceston.html
