parish,county,from_year,to_year,comments,district,source_url
Billington,Bedfordshire,1837,1998,"Renamed 1.9.1998 to become the parish of Great Billington. See also 
    Table 2, note (n).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Cheddington,Buckinghamshire,1837,1935,"See Table 2, note (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Eaton Bray,Bedfordshire,1846,1935,"See Table 2, notes (a) and (i).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Edlesborough,Buckinghamshire,1837,1935,"See Table 2, notes (c), (f) and (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Eggington,Bedfordshire,1837,1999,"See Table 2, note (o).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Grove,Buckinghamshire,1837,1935,"See Table 2, note (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Heath & Reach,Bedfordshire,1837,1999,"See Table 2, note (o).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Ivinghoe,Buckinghamshire,1837,1935,"See Table 2, notes (b), (d) and (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Leighton Buzzard,Bedfordshire,1837,1965,Abolished 1.4.1965 and added to the parish of Leighton Linslade.,Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Linslade,Buckinghamshire,1837,1935,"See Table 2, note (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Mentmore,Buckinghamshire,1837,1935,"See Table 2, note (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Slapton,Buckinghamshire,1837,1935,"See Table 2, notes (b) and (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Soulbury,Buckinghamshire,1837,1935,"See Table 2, notes (h) and (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Stanbridge,Bedfordshire,1837,1999,"See Table 2, notes (n), (m) and (o).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Stoke Hammond,Buckinghamshire,1837,1935,"See Table 2, notes (h) and (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
Wing,Buckinghamshire,1837,1935,"See Table 2, note (h).",Leighton Buzzard,http://www.ukbmd.org.uk/reg/districts/leighton%20buzzard.html
