parish,county,from_year,to_year,comments,district,source_url
Bettws,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Brechfa,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanegwad.,Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llandilofawr,Carmarthenshire,1837,1894,"Abolished 1894 to become the separate parishes of Llandilo Urban 
    and Llandilo Rural.",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llandybie,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llandyfeisant,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llanegwad,Carmarthenshire,1837,1935,"See Table 2, notes (b) and (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llanfihangel Aberbythych,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llanfihangel Cilfargen,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llangathen.,Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llanfynydd,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llangathen,Carmarthenshire,1837,1935,"See Table 2, notes (b) and (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Llansawel,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
Talley,Carmarthenshire,1837,1935,"See Table 2, note (b).",Llandilofawr,http://www.ukbmd.org.uk/reg/districts/llandilofawr.html
