parish,county,from_year,to_year,comments,district,source_url
Cilycwm,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Conwil Gaio,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanddeusant,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llandingat,Carmarthenshire,1837,1894,"Abolished 1894 to become the separate parishes of Llandingat Within 
    and Llandingat Without.",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llandulas,Brecknockshire,1837,1897,"See Table 2, note (b).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanfairarybryn,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llangadock,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llansadwrn,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanwrda,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanwrtyd,Brecknockshire,1837,1897,"See Table 2, note (b).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Myddfai,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
