parish,county,from_year,to_year,comments,district,source_url
Arthuret,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Bellbank,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Stapleton.,Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Bewcastle,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Hethersgill,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Kirkandrews Middle,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Kirkandrews.,Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Kirkandrews Moat,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Kirkandrews.,Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Kirkandrews Nether,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Kirkandrews.,Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Kirklinton Middle,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Nichol Forest,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Scaleby,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Solport,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Stapleton,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Trough,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Solport.,Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
Westlinton,Cumberland,1837,1939,"See Table 2, note (a).",Longtown,http://www.ukbmd.org.uk/reg/districts/longtown.html
