parish,county,from_year,to_year,comments,district,source_url
Abdon,Shropshire,1837,2005,"See Table 2, notes (h) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ashford Bowdler,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ashford Carbonel,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Aston,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Bitterley,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Bromfield,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Burrington,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Caynham,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Clee St. Margaret,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Cold Weston,Shropshire,1837,1967,Abolished 1.4.1967 and added to the parish of Clee St. Margaret.,Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Culmington,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Diddlebury,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Downton,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Elton,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Halford,Shropshire,1837,1987,"Abolished 1.4.1987 and divided between the parishes of Craven 
    Arms, Sibdon Carwood and Wistanstow.",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Heath,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Holdgate,Shropshire,1837,1967,"Abolished 1.4.1967 and divided between the parishes of Tugford 
    and Munslow. See also Table 2, notes (a) and (c).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Hope Bagot,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Hopton Cangeford,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Leinthall Starkes,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Leintwardine North Side,Herefordshire,1837,1895,"On 30.9.1885 the part in Shropshire was transfererd to Herefordshire and 
    the parish now wholly in Herefordshire was renamed to become the parish of 
    Leintwardine.",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ludford,Herefordshire,1837,1895,"On 30.9.1895 the part in Herefordshire was transferred to Shropshire, 
    so that thereafter Ludford was entirely in Shropshire. See also Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ludlow,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ludlow Castle,Shropshire,1837,1901,Abolished 9.11.1901 and added to the parish of Ludlow.,Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Munslow,Shropshire,1837,2005,"See Table 2, notes (b) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Onibury,Shropshire,1837,2005,"See Table 2, notes (i) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Richards Castle,Herefordshire,1837,1933,"On 1.4.1889 the parts in Herefordshire and Shropshire became 
    separate parishes. See also Table 2, notes (d) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Stanton Lacy,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Stoke St. Milborough,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Stokesay,Shropshire,1837,1987,"Abolished 1.4.1987 and added to the parish of Craven 
    Arms.",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Tugford,Shropshire,1837,1987,"Abolished 1.4.1987 and added to the parish of Abdon & 
    Heath.",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Wigmore,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
