parish,county,from_year,to_year,comments,district,source_url
Arnesby,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Ashby Magna,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Ashby Parva,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Bittesby,Leicestershire,1837,1974,"See Table 2, notes (g) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Bitteswell,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Broughton Astley,Leicestershire,1837,1974,"See Table 2, notes (a), (n) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Bruntingthorpe,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Catthorpe,Leicestershire,1837,1974,"See Table 2, notes (f) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Claybrooke Magna,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Claybrooke Parva,Leicestershire,1837,1974,"See Table 2, notes (g) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Copston Magna,Warwickshire,1837,1932,"See Table 2, note (e).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Cotesbach,Leicestershire,1837,1974,"See Table 2, notes (f) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Dunton Bassett,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Frolesworth,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Gilmorton,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Kimcote,Leicestershire,1837,1898,"Abolished 31.3.1898 and added to the parish of Kimcote & 
    Walton",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Knaptoft,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Leire,Leicestershire,1837,1974,"See Table 2, note (o).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Lutterworth,Leicestershire,1837,1974,"See Table 2, notes (f), (g) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Misterton,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Monks Kirby,Warwickshire,1837,1932,"See Table 2, note (e).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
North Kilworth,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Pailton,Warwickshire,1837,1932,"See Table 2, note (e).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Peatling Magna,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Peatling Parva,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Shawell,Leicestershire,1837,1974,"See Table 2, notes (f) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Shearsby,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
South Kilworth,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Stretton under Fosse,Warwickshire,1837,1932,"See Table 2, note (e).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Swinford,Leicestershire,1837,1974,"See Table 2, note (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Ullesthorpe,Leicestershire,1837,1974,"See Table 2, notes (g) and (p).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Walton in Knaptoft,Leicestershire,1837,1898,"Abolished 31.3.1898 and added to the parish of Kimcote & 
    Walton",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Welford,Northamptonshire,1837,1895,"See Table 2, note (c).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Wibtoft,Warwickshire,1837,1932,"See Table 2, note (e).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Wigston Parva,Leicestershire,1837,1895,"See Table 2, note (b).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Willey,Warwickshire,1837,1932,"See Table 2, note (e).",Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
Willoughby Waterless,Leicestershire,1837,1966,Renamed 29.9.1966 to become the parish of Willoughby Waterleys.,Lutterworth,http://www.ukbmd.org.uk/reg/districts/lutterworth.html
