parish,county,from_year,to_year,comments,district,source_url
Adlington,Cheshire,1837,1998,"See Table 2, notes (o), (p) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Birtles,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Henbury 
    and Over Alderley.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Bollington,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Bosley,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Butley,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Prestbury 
    and Bollington.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Capesthorne,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Siddington.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Chelford,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Chorley,Cheshire,1837,1998,"See Table 2, notes (c) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Eaton,Cheshire,1837,1998,"See Table 2, notes (c) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Fallibroome,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Prestbury 
    and Macclesfield.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Gawsworth,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Great Warford,Cheshire,1837,1998,"See Table 2, notes (a) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Henbury cum Pexall,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Henbury.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Hurdsfield,Cheshire,1837,1975,Renamed 6.3.1975 to become the parish of Higher Hurdsfield.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Kettleshulme,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Lower Withington,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Withington.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Lyme Handley,Cheshire,1837,1998,"See Table 2, notes (o), (p) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Macclesfield,Cheshire,1837,1974,Abolished 1.4.1974 and added to the Macclesfield unparished area.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Macclesfield Forest,Cheshire,1837,1981,"Abolished 1.4.1981 and added to the parish of Macclesfield 
    Forest & Wildboarclough.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Marton,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Mottram St. Andrew,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Nether Alderley,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Newton,Cheshire,1837,1936,"Abolished 1.4.1936 and added to the parish of Mottram St. 
    Andrew.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
North Rode,Cheshire,1837,1998,"See Table 2, notes (c) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Old Withington,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Withington.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Over Alderley,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Pott Shrigley,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Poynton,Cheshire,1837,1881,Renamed 2.4.1881 to become the parish of Poynton with Worth.,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Prestbury,Cheshire,1837,1998,"See Table 2, notes (o), (p) and (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Rainow,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Siddington,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Snelson,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Sutton,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Taxal,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Hartington 
    Upper Quarter, Whaley Bridge and Wildboarclough.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Tytherington,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Macclesfield 
    and Bollington.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Upton,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Macclesfield 
    and Prestbury.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Wildboarclough,Cheshire,1837,1981,"Abolished 1.4.1981 and added to the parish of Macclesfield 
    Forest & Wildboarclough.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Wincle,Cheshire,1837,1998,"See Table 2, note (q).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Woodford,Cheshire,1837,1939,"Abolished 1.4.1939 and added to the parish of Hazel Grove 
    & Bramhall. See also Table 2, note (f).",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Worth,Cheshire,1837,1881,Abolished 25.3.1881 and added to the parish of Poynton,Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
Yeardsley cum Whaley,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Whaley Bridge 
    and Disley.",Macclesfield,http://www.ukbmd.org.uk/reg/districts/macclesfield.html
