parish,county,from_year,to_year,comments,district,source_url
All Saints,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Maldon.,Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Althorne,Essex,1837,1972,"See Table 2, notes (g) and (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Asheldham,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Bradwell on Sea,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Burnham on Crouch,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Cold Norton,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Creeksea,Essex,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Burnham 
    and Canewdon. See also Table 2, note (g).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Dengie,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Goldhanger,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Great Totham,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Hazeleigh,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Heybridge,Essex,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Maldon and 
    Great Totham.",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Langford,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Latchingdon,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Little Totham,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Mayland,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Mundon,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
North Fambridge,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Purleigh,Essex,1837,1972,"See Table 2, notes (c) and (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Southminster,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
St. Lawrence,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
St. Mary,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Maldon.,Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
St. Peter,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Maldon.,Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Steeple,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Stow Maries,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Tillingham,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Tollesbury,Essex,1837,1972,"See Table 2, notes (d) and (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Tolleshunt D'Arcy,Essex,1837,1972,"See Table 2, notes (f) and (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Tolleshunt Knights,Essex,1837,1972,"See Table 2, notes (e), (f) and (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Tolleshunt Major,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Woodham Mortimer,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
Woodham Walter,Essex,1837,1972,"See Table 2, note (i).",Maldon (1974 onw),http://www.ukbmd.org.uk/reg/districts/maldon.html
