parish,county,from_year,to_year,comments,district,source_url
Alderton,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Luckington.,Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Bremliham,Wiltshire,1837,1884,"Abolished 25.3.1884 and divided between the parishes of Foxley, 
    Westport St. Mary and Brokenborough.",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Brinkworth,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Brokenborough,Wiltshire,1837,1894,"Abolished 1894 to become the separate parishes of Brokenborough 
    Without and Brokenborough Within.",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Charlton,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Crudwell,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Dauntsey,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Easton Grey,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Foxley,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Norton,Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Garsdon,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Lea & Cleverton.,Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Great Somerford,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Hankerton,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Hullavington,Wiltshire,1837,1936,"See Table 2, notes (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Lea & Cleverton,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Little Somerford,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Luckington,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Norton,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Sherston Magna,Wiltshire,1837,1896,Abolished 1.10.1896 and added to the parish of Sherston.,Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Sherston Pinkney,Wiltshire,1837,1896,Abolished 1.10.1896 and added to the parish of Sherston.,Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Sopworth,Wiltshire,1837,1936,"See Table 2, note (a).",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
St. Paul,Wiltshire,1837,1894,"Abolished 1894 to become the separate parishes of Malmesbury St. 
    Paul Within and Malmesbury St. Paul Without.",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
The Abbey,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Malmesbury.,Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
Westport St. Mary,Wiltshire,1837,1894,"Abolished 1894 to become the separate parishes of Westport St. 
    Mary Within and Westport St. Mary Without.",Malmesbury,http://www.ukbmd.org.uk/reg/districts/malmesbury.html
