parish,county,from_year,to_year,comments,district,source_url
Arthingworth,Northamptonshire,1837,1936,"See Table 2, note (d).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Ashley,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Brampton Ash,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Braybrooke,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Clipston,Northamptonshire,1837,1936,"See Table 2, note (d).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Cranoe,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Dingley,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
East Farndon,Northamptonshire,1837,1936,"See Table 2, note (d).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
East Langton,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Fleckney,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Foxton,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Glooston,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Great Bowden,Leicestershire,1837,1927,Abolished 1.10.1927 and added to the parish of Market Harborough.,Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Great Oxenden,Northamptonshire,1837,1936,"See Table 2, note (d).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Gumley,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Hothorpe,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Marston Trusel.,Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Husbands Bosworth,Leicestershire,1837,1999,"See Table 2, note (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Kelmarsh,Northamptonshire,1837,1936,"See Table 2, note (d).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
