parish,county,from_year,to_year,comments,district,source_url
Barton Mills,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Cavenham,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Elveden,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Eriswell,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Freckenham,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Herringswell,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Icklingham,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Kentford,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Lakenheath,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Mildenhall,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Tuddenham,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Wangford,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
Worlington,Suffolk,1837,1889,"See Table 2, note (a).",Mildenhall,http://www.ukbmd.org.uk/reg/districts/mildenhall.html
