parish,county,from_year,to_year,comments,district,source_url
Cwmcarvan,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Mitchel 
    Troy 
    United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Dingestow,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Mitchel 
    Troy 
    United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Dixton Newton,Monmouthshire,1837,1939,"See Table 2, note (i).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
English Bicknor,Gloucestershire,1837,1937,"See Table 2, notes (h) and (h).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Ganarew,Herefordshire,1837,1935,"See Table 2, note (g).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Garway,Herefordshire,1837,1935,"See Table 2, note (g).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llandenny,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Raglan United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llandogo,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Trellech United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llangattock Vibon Avel,Monmouthshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Llangattock 
    Vibon Avel United and Llandeilo United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llangoven,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Raglan United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llanishen,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Trellech United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llanrothal,Herefordshire,1837,1935,"See Table 2, note (g).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llantilio Crossenny,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llandeilo United. 
    See also Table 2, note (b).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Llanvihangel Ystern Llewern,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llandeilo United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Mitchel Troy,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Mitchel 
    Troy 
    United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Monmouth,Monmouthshire,1837,1939,"See Table 2, note (i).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Newland,Gloucestershire,1837,1937,"See Table 2, notes (c), (d) and (h).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Parc Grace Dieu,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llandeilo United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Penallt,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Trellech United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Penrhôs,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llandeilo United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Pen y Clawdd,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Raglan United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Raglan,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Ragan United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Rockfield,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llangattock 
    Vibon Avel United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Skenfreth,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llangattock 
    Vibon Avel United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
St. Maughans,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llangattock 
    Vibon Avel United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Staunton,Gloucestershire,1837,1937,"See Table 2, note (h).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Tregare,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Mitchel 
    Troy 
    United.",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Trelleck,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Trellech United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Trelleck Town,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Trellech United.,Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
Welsh Newton,Herefordshire,1837,1935,"See Table 2, note (g).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
West Dean,Gloucestershire,1845,1937,"See Table 2, notes (a), (h) and (h).",Monmouth (1837-1939),http://www.ukbmd.org.uk/reg/districts/monmouth.html
