parish,county,from_year,to_year,comments,district,source_url
Beaulieu,Hampshire,1837,2008,"See Table 2, note (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Bramshaw,Hampshire,1837,2008,"On 30.9.1895 the part in Wiltshire became 
    the separate parish of East Bramshaw, so that thereafer Bramshaw was 
    entirely 
    in Hampshire. See also Table 2, notes (e) and (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Denny Lodge,Hampshire,1837,2008,"See Table 2, note (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Dibden,Hampshire,1837,1984,"Renamed 1.8.1984 to become the parish of Hythe & Dibden. See also 
    Table 2, note (d).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Eling,Hampshire,1837,1974,"Renamed 1.4.1974 to become the parish of Totton & Eling. See also 
    Table 2, note (c).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Exbury & Lepe,Hampshire,1837,2008,"See Table 2, note (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Fawley,Hampshire,1837,2008,"See Table 2, note (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Lyndhurst,Hampshire,1837,2008,"See Table 2, note (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
Minstead,Hampshire,1837,2008,"See Table 2, note (h).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
No Man's Land,Wiltshire,1837,1869,"See Table 2, note (a).",New Forest,http://www.ukbmd.org.uk/reg/districts/new%20forest.html
