parish,county,from_year,to_year,comments,district,source_url
Bangor,Cardiganshire,1837,1934,Abolished 1.4.1934 and added to the parish of Orllwyn Teifi.,Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Bettws Evan,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Brongwyn,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Capel Colman,Pembrokeshire,1837,1935,"See Table 2, note (b).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Castellan,Pembrokeshire,1837,1935,"See Table 2, note (b).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Cenarth,Carmarthenshire,1837,1935,"See Table 2, note (a).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Cilrhedyn,Carmarthenshire,1837,1894,"Abolished 1894 when the parts in Carmarthenshire and 
    Pembrokeshire became the parishes of East Cilrhedyn 
    and West Cilrhedyn respectively.",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Clydey,Pembrokeshire,1837,1935,"See Table 2, note (b).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Henllan,Cardiganshire,1837,1934,Abolished 1.4.1934 and added to the parish of Orllwyn Teifi.,Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llandyfriog,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llandyssul,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llanfair Orllwyn,Cardiganshire,1837,1934,Abolished 1.4.1934 and added to the parish of Orllwyn Teifi.,Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llanfair Treflygen,Cardiganshire,1837,1934,Abolished 1.4.1934 and added to the parish of Llandyfriog.,Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llanfihangel ar Arth,Carmarthenshire,1837,1935,"See Table 2, notes (a).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llanfrynach,Pembrokeshire,1837,1935,"See Table 2, note (b).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llangeler,Carmarthenshire,1837,1935,"See Table 2, note (a).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llangranog,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Llangunllo,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Penboyr,Carmarthenshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llangeler,Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Penbryn,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Penrydd,Pembrokeshire,1837,1935,"See Table 2, note (b).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
Troedyraur,Cardiganshire,1837,1936,"See Table 2, note (c).",Newcastle in Emlyn,http://www.ukbmd.org.uk/reg/districts/newcastle%20in%20emlyn.html
