parish,county,from_year,to_year,comments,district,source_url
Aston Ingham,Herefordshire,1837,1895,"See Table 2, note (b).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Bromsberrow,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Corse,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Dymock,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Hartpury,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Highleadon,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Rudford.,Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Kempley,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Linton,Herefordshire,1837,1895,"See Table 2, note (b).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Newent,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Oxenhall,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Pauntley,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Preston,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Dymock.,Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Redmarley D'Abitot,Worcestershire,1837,1931,"Transferred from Worcestershire to Gloucestershire on 1.4.1931. 
    See also Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Rudford,Gloucestershire,1837,1937,"See Table 2, notes (a) and (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Staunton,Worcestershire,1837,1931,"Transferred from Worcestershire to Gloucestershire on 1.4.1931. 
    See also Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Taynton,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Tibberton,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
Upleadon,Gloucestershire,1837,1937,"See Table 2, note (c).",Newent,http://www.ukbmd.org.uk/reg/districts/newent.html
