parish,county,from_year,to_year,comments,district,source_url
Ashley,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Bottisham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Brinkley,Cambridgeshire,1837,1935,"See Table 2, notes (a) and (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Burrough Green,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Burwell,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Cheveley,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Chippenham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Dalham,Suffolk,1837,1889,,Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Dullingham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Exning,Suffolk,1837,1889,"Abolished 1.4.1974 and added to the Forest Heath 
    unparished area.",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Fordham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Gazeley,Suffolk,1837,1889,,Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Isleham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Kennett,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Kirtling,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Landwade,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Lidgate,Suffolk,1837,1889,,Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Moulton,Suffolk,1837,1889,,Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Newmarket All Saints,Cambridgeshire,1837,1889,"Abolished 1.4.1974 and added to the Forest Heath 
    unparished area.",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Newmarket St. Mary,Cambridgeshire,1837,1889,"Abolished 1.4.1974 and added to the Forest Heath 
    unparished area.",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Ousden,Suffolk,1837,1889,"See Table 2, note (a).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Snailwell,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Soham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Stetchworth,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Swaffham Bulbeck,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Swaffham Prior,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Westley Waterless,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Wicken,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Woodditton,Cambridgeshire,1837,1889,"In 1889 the part of the parish of Woodditton in the urban district 
    of Newmarket became part of West Suffolk and on 1.10.1895 this area became 
    part of the parish of Newmarket All Saints, so that therafter Woodditton was 
    again wholly in Cambridgeshire. See also Table 2, note (c).",Newmarket (1938-1989),http://www.ukbmd.org.uk/reg/districts/newmarket.html
