parish,county,from_year,to_year,comments,district,source_url
Abbotskerswell,Devon,1837,1935,Abolished 1.4.1935 and added to the parish of Kerswells.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Ashburton,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Bickington,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Bishopsteignton,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Bovey Tracey,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Broadhempston,Devon,1837,1996,"See Table 2, notes (c) and (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Buckland in the Moor,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Chudleigh,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Cockington,Devon,1837,1928,Abolished 1.10.1928 and added to the parish of Torquay.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Coffinswell,Devon,1837,1996,"See Table 2, notes (e) and (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Combe in Teignhead,Devon,1837,1885,"Abolished 25.3.1885 and divided between the parishes of Haccombe 
    with Combe and Stokeinteignhead.",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Dawlish,Devon,1837,1894,"Abolished 1894 to become the separate parishes of East Dawlish 
    and West Dawlish. See also Table 2, note (d).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Denbury,Devon,1837,1885,Abolished 25.3.1885 and added to the parish of Torbryan.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
East Ogwell,Devon,1837,1894,Abolished 1894 and added to the parish of Ogwell.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
East Teignmouth,Devon,1837,1909,Abolished 1.4.1909 and added to the parish of Teignmouth.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Haccombe,Devon,1837,1885,"Abolished 25.3.1885 and added to the parish of Haccombe with 
    Combe.",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Hennock,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Highweek,Devon,1837,1974,Abolished 1.4.1974 and added to the parish of Newton Abbot.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Ideford,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Ilsington,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Ipplepen,Devon,1837,1996,"See Table 2, notes (b) and (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Kingskerswell,Devon,1837,1935,Abolished 1.4.1935 and added to the parish of Kerswells.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Kingsteignton,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Lustleigh,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Manaton,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Moretonhampstead,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
North Bovey,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
St. Marychurch,Devon,1837,1924,Abolished 1.4.1924 and added to the parish of Torquay.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
St. Nicholas,Devon,1837,1974,Abolished 1.4.1974 and added to the parish of Teignmouth.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Stokeinteignhead,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Teigngrace,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Torbryan,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Tormoham,Devon,1837,1924,Abolished 1.4.1924 and added to the parish of Torquay.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Trusham,Devon,1837,1996,"See Table 2, notes (a) and (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
West Ogwell,Devon,1837,1894,Abolished 1894 and added to the parish of Ogwell.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
West Teignmouth,Devon,1837,1909,Abolished 1.4.1909 and added to the parish of Teignmouth.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Widecombe in the Moor,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Wolborough,Devon,1837,1974,Abolished 1.4.1974 and added to the parish of Newton Abbot.,Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
Woodland,Devon,1837,1996,"See Table 2, note (j).",Newton Abbot,http://www.ukbmd.org.uk/reg/districts/newton%20abbot.html
