parish,county,from_year,to_year,comments,district,source_url
All Saints,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Earlham,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Eaton St. Andrew,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Heigham,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Hellesdon,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Lakenham,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Pockthorpe,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Andrew,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Augustine,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Benedict,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Clement,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Edmund,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Etheldred,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. George Colegate,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. George Tombland,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Giles,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Gregory,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Helen,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. James,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. John Maddermarket,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. John Sepulchre,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. John Timberhill,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Julian,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
St. Lawrence,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
