parish,county,from_year,to_year,comments,district,source_url
Adel cum Eccup,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Alwoodley,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Arthington,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Askwith,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Baildon,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Blubberhouses,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Bramhope,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Burley in Wharfedale,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Carlton,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Castley,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Clifton with Norwood,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Denton,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Dunkeswick,Yorkshire West Riding,1837,1869,"See Table 2, note (e).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Esholt,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Farnley,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Fewston,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Great Timble,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Guiseley,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Harewood,Yorkshire West Riding,1837,1869,"See Table 2, note (e).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Haverah Park,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Hawksworth,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Ilkley,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Leathley,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Lindley,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Little Timble,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Menston,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Middleton,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Newall with Clifton,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Otley,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Pool,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Rawdon,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Rigton,Yorkshire West Riding,1837,1861,"See Table 2, note (b).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Stainburn,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Weardley,Yorkshire West Riding,1837,1861,"See Table 2, note (b).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Weeton,Yorkshire West Riding,1837,1869,"See Table 2, note (e).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Weston,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Wigton,Yorkshire West Riding,1837,1869,"See Table 2, note (e).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Wyke,Yorkshire West Riding,1837,1869,"See Table 2, note (e).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
Yeadon,Yorkshire West Riding,1837,1861,"See Table 2, note (c).",Otley,http://www.ukbmd.org.uk/reg/districts/otley.html
